generation,currentPopulationBestCost,currentPopulationBestVehicleCount,currentPopulationAverageCost,BSFcost,BSFvehicleCount
402,3845.0,5,4348.42,3569.0,5
403,3845.0,5,4334.43,3569.0,5
404,3845.0,5,4339.21,3569.0,5
405,3704.0,5,4242.14,3569.0,5
406,3704.0,5,4115.78,3569.0,5
407,3704.0,5,4038.99,3569.0,5
408,3704.0,5,3977.34,3569.0,5
409,3704.0,5,3928.41,3569.0,5
410,3704.0,5,3904.23,3569.0,5
411,3625.0,5,3870.71,3569.0,5
412,3625.0,5,3853.89,3569.0,5
413,3625.0,5,3829.12,3569.0,5
414,3625.0,5,3813.31,3569.0,5
415,3625.0,5,3804.92,3569.0,5
416,3625.0,5,3798.31,3569.0,5
417,3625.0,5,3790.96,3569.0,5
418,3625.0,5,3784.44,3569.0,5
419,3625.0,5,3776.39,3569.0,5
420,3625.0,5,3769.93,3569.0,5
421,3625.0,5,3764.63,3569.0,5
422,3625.0,5,3760.15,3569.0,5
423,3625.0,5,3752.7,3569.0,5
424,3625.0,5,3748.87,3569.0,5
425,3625.0,5,3746.56,3569.0,5
426,3625.0,5,3742.55,3569.0,5
427,3625.0,5,3740.22,3569.0,5
428,3625.0,5,3738.97,3569.0,5
429,3625.0,5,3734.18,3569.0,5
430,3625.0,5,3730.97,3569.0,5
431,3625.0,5,3727.68,3569.0,5
432,3625.0,5,3724.82,3569.0,5
433,3625.0,5,3722.3,3569.0,5
434,3625.0,5,3717.66,3569.0,5
435,3603.0,5,3713.22,3569.0,5
436,3603.0,5,3709.34,3569.0,5
437,3603.0,5,3705.26,3569.0,5
438,3603.0,5,3703.68,3569.0,5
439,3603.0,5,3701.58,3569.0,5
440,3577.0,5,3697.25,3569.0,5
441,3577.0,5,3695.77,3569.0,5
442,3577.0,5,3694.84,3569.0,5
443,3577.0,5,3694.2,3569.0,5
444,3577.0,5,3693.74,3569.0,5
445,3577.0,5,3691.9,3569.0,5
446,3577.0,5,3690.26,3569.0,5
